date,flux
0.0,109.6
1.0,113.8
2.0,112.3
3.0,116.8
4.0,124.8
5.0,133.4
6.0,132.6
7.0,128.9
8.0,121.9
9.0,129.0
10.0,120.2
11.0,116.0
12.0,110.1
13.0,105.2
14.0,101.0
15.0,99.6
16.0,97.4
17.0,96.0
18.0,99.4
19.0,93.2
20.0,91.0
21.0,89.0
22.0,89.4
23.0,92.2
24.0,94.0
25.0,97.0
26.0,100.1
27.0,101.1
28.0,100.7
29.0,102.0
30.0,100.7
